# Posterior probabilities of HI were assessed using the estimated fraction of haploinsufficient genes as prior (24%), thus some genes may have less observed PTVs that expected and even though have a low posterior probability.
# name = HGNC symbol
# posterior = posterior of being intolerant to PTVs 
# observedtruncationcount = number of PTVs in the gene
# expectedtruncationcount = number of expected PTVs in the gene as a function of its de novo mutation rate and number of synonymous mutations
name posterior observedtruncationcount expectedtruncationcount
AASDH 7.992087126366563E-7 12 14.032185532041145
ZNF175 8.41049273304261E-7 11 9.609918048437821
FSCB 8.423303812370206E-7 11 9.614708417383612
ZNF530 8.497786508553806E-7 11 9.642415773420243
TULP3 8.553704251508326E-7 10 5.080190680162481
LRP2BP 8.799236719749541E-7 10 5.169260396533966
PABPC3 8.846566615940281E-7 11 9.769011018539262
NINL 9.676806486179433E-7 13 19.217064261689487
ECHDC2 9.777818847253748E-7 10 5.501145573397196
TBP 9.966736728010983E-7 10 5.561374379181798
TRAP1 9.978414814673174E-7 11 10.147927109670452
PCK2 1.0013769750092736E-6 11 10.159058657331643
ZNF99 1.0319781250321957E-6 11 10.2537963097183
LPIN3 1.0453405622775218E-6 11 10.294286876807933
ABCA6 1.0609374801211703E-6 13 19.506633132729203
PASK 1.0651022277268901E-6 12 14.936096501486476
DPY19L4 1.0767699397114318E-6 11 10.387518848541273
ZNF544 1.0997189011519076E-6 11 10.453891325701333
PNLIPRP1 1.1070720617397953E-6 10 5.89199805281101
SEC24A 1.129672309823148E-6 12 15.121335368018617
LZTR1 1.1452938410588142E-6 11 10.581691756909397
CCDC108 1.1472677316427129E-6 14 24.335712968475136
IQGAP3 1.1504233594711112E-6 14 24.34435786454345
RGL3 1.160182615648478E-6 11 10.622342610468102
HHIPL2 1.1606064110891443E-6 11 10.623492049641548
MICAL1 1.1661398180636833E-6 12 15.221328838097854
CYP3A4 1.2292272920967654E-6 10 6.221414425388561
AOC2 1.2333313914983783E-6 11 10.81477214967528
UACA 1.260141136537581E-6 13 20.04818809632501
SPG7 1.270191062114484E-6 11 10.907454439254986
CEP135 1.3165855804822839E-6 13 20.186095551765256
MYH13 1.329492509624333E-6 14 24.799666344164596
AOC3 1.3820433606852365E-6 11 11.173071593259703
ADAMTS20 1.3878831869020567E-6 15 29.51781122435308
