gene_symbol,s_het,s_het_lower95,s_het_upper95,NFE_s_het,NFE_s_het_lower95,NFE_s_het_upper95,rank,quintile,decile,U,N,NFE_N,n,NFE_n
CREBBP,0.712744609,0.177,1,0.5766,0,1,1,1,1,6.42E-06,113189.9753,61824.3065,0,0
CACNA1E,0.687495742,0.167,1,0.55237,0,1,2,1,1,6.38E-06,105885.3685,61279.866,0,0
TRIP12,0.660254755,0.157,1,0.5263,0,1,3,1,1,5.36E-06,116128.9936,65776.2444,0,0
EIF4G1,0.639410094,0.148,1,0.5064,0,1,4,1,1,5.02E-06,116189.4986,66008.3037,0,0
USP9X,0.620360495,0.141,1,0.48826,0,1,5,1,1,7.05E-06,77810.53955,45820.4633,0,0
HELZ,0.616952455,0.14,1,0.48501,0,1,6,1,1,4.78E-06,113486.5676,66295.2973,0,0
UBR5,0.615396766,0.187,1,0.51241,0,1,7,1,1,9.20E-06,115980.3895,66716,1,1
MED13,0.608889049,0.137,1,0.47735,0,1,8,1,1,4.63E-06,114075.7071,65259.7639,0,0
KDM3B,0.598649548,0.133,1,0.46763,0,1,9,1,1,4.35E-06,117307.6764,65138.9312,0,0
SMC3,0.586267656,0.129,1,0.45589,0,1,10,1,1,4.23E-06,115619.3626,65255.7467,0,0
MED12,0.583941063,0.128,1,0.45369,0,1,11,1,1,6.30E-06,77005.13964,42134.7085,0,0
NIPBL,0.573090113,0.17,1,0.47297,0,1,12,1,1,8.39E-06,113800.2804,66676,1,0
COPA,0.552121239,0.116,1,0.42363,0,1,13,1,1,3.68E-06,117622.8069,65767.2381,0,0
KMT2E,0.547772441,0.115,1,0.41953,0,1,14,1,1,3.73E-06,114191.493,65639.7297,0,0
SF3B1,0.547290214,0.115,1,0.41908,0,1,15,1,1,3.79E-06,112182.2047,66293.4444,0,0
RLF,0.547052978,0.115,1,0.41886,0,1,16,1,1,3.60E-06,117998.6356,65359.5378,0,0
RSF1,0.542223592,0.113,1,0.41431,0,1,17,1,1,3.68E-06,113366.0616,62190.0229,0,0
BRWD3,0.541479417,0.113,1,0.41361,0,1,18,1,1,5.49E-06,75777.91772,44638.3455,0,0
SCAF8,0.536996463,0.111,1,0.4094,0,1,19,1,1,3.59E-06,113935.5333,65882.3824,0,0
SMARCC2,0.534618701,0.11,1,0.40716,0,1,20,1,1,3.48E-06,116478.0138,65408.8829,0,0
RALGAPB,0.534301373,0.11,1,0.40686,0,1,21,1,1,3.43E-06,118032.9231,66654.67,0,0
FNDC3B,0.531397871,0.109,1,0.40414,0,1,22,1,1,3.47E-06,115382.6785,66478.4211,0,0
SIN3A,0.531233531,0.109,1,0.40398,0,1,23,1,1,3.38E-06,118380.2764,66432.6186,0,0
SUPT16H,0.530960028,0.109,1,0.40373,0,1,24,1,1,3.49E-06,114528.706,62613.9275,0,0
YTHDC1,0.530263226,0.109,1,0.40307,0,1,25,1,1,3.45E-06,115546.593,65500.9783,0,0
CTNND2,0.527353063,0.108,1,0.40034,0,1,26,1,1,3.44E-06,114588.5078,63889.3846,0,0
LPHN1,0.523630711,0.107,1,0.39685,0,1,27,1,1,3.77E-06,103057.4538,58993.6422,0,0
NCKAP1,0.523562723,0.107,1,0.39679,0,1,28,1,1,3.52E-06,110347.6231,64172.5714,0,0
KDM2A,0.521228839,0.106,1,0.3946,0,1,29,1,1,3.65E-06,105451.2596,62833.2857,0,0
USP47,0.519448326,0.105,1,0.39293,0,1,30,1,1,3.37E-06,113417.5991,65534.05,0,0
MAPK8IP3,0.508441908,0.101,1,0.38263,0,1,31,1,1,3.41E-06,107288.9939,58677.9634,0,0
THRAP3,0.508059647,0.101,1,0.38227,0,1,32,1,1,3.12E-06,117081.2523,65514.304,0,0
SYNGAP1,0.50611216,0.101,1,0.38045,0,1,33,1,1,3.35E-06,108190.17,61217.6908,0,0
TLK2,0.504765825,0.1,1,0.37919,0,1,34,1,1,3.24E-06,111255.7933,64508.7573,0,0
